2020-01-09 16:52:20,778 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:52:20,780 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:52:20,781 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:52:52,090 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-01-09 16:52:52,658 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.winpointlc:webproj1:0.0.1-SNAPSHOT @ F:\winpoint\webproj1\pom.xml.
2020-01-09 16:52:53,166 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webproj1/src/main/java
2020-01-09 16:52:53,166 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webproj1/src/main/resources
2020-01-09 16:52:53,167 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webproj1/src/test/java
2020-01-09 16:52:53,167 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webproj1/src/test/resources
2020-01-09 16:52:53,395 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2020-01-09 16:52:54,424 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:52:54,427 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:52:54,430 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-01-09 16:52:54,431 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-01-09 16:53:28,027 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-01-09 16:53:28,511 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.winpointlc:webproj1:0.0.1-SNAPSHOT @ F:\winpoint\webproj1\pom.xml.
